RptDt;TckrSymb;MktNm;SctyCtgyNm;TradgStartDt;TradgEndDt;ISIN;TradgCcy;SpcfctnCd;CrpnNm
21/09/21;ALUP3F;EQUITY-CASH;SHARES;28/04/21;31/12/99;BRALUPACNOR8;BRL;ON      N2;ALUPAR INVESTIMENTO S/A
21/09/21;ALUP3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;24/04/13;31/12/99;BRALUPTNO000;BRL;ON      N2;ALUPAR INVESTIMENTO S/A
21/09/21;ALUP4;EQUITY-CASH;SHARES;28/04/21;31/12/99;BRALUPACNPR5;BRL;PN      N2;ALUPAR INVESTIMENTO S/A
21/09/21;ALUP4F;EQUITY-CASH;SHARES;28/04/21;31/12/99;BRALUPACNPR5;BRL;PN      N2;ALUPAR INVESTIMENTO S/A
21/09/21;ALUP4T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;24/04/13;31/12/99;BRALUPTNP007;BRL;PN      N2;ALUPAR INVESTIMENTO S/A
21/09/21;ALZR11;EQUITY-CASH;FUNDS;20/09/21;31/12/99;BRALZRCTF006;BRL;CI  ER;ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB
21/09/21;ALZR15;EQUITY-CASH;RECEIPTS;31/12/99;31/12/99;BRALZRR09M19;BRL;REC;ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB
21/09/21;ALZR16;EQUITY-CASH;RECEIPTS;31/12/99;31/12/99;BRALZRR10M16;BRL;REC;ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB
21/09/21;AMAR3;EQUITY-CASH;SHARES;26/08/15;31/12/99;BRAMARACNOR4;BRL;ON      NM;MARISA LOJAS S.A.
21/09/21;AMAR3F;EQUITY-CASH;SHARES;26/08/15;31/12/99;BRAMARACNOR4;BRL;ON      NM;MARISA LOJAS S.A.
21/09/21;AMAR3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;28/06/10;31/12/99;BRAMARTNO006;BRL;ON      NM;MARISA LOJAS S.A.
21/09/21;AMBP3;EQUITY-CASH;SHARES;03/05/21;31/12/99;BRAMBPACNOR6;BRL;ON      NM;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A
21/09/21;AMBP3F;EQUITY-CASH;SHARES;03/05/21;31/12/99;BRAMBPACNOR6;BRL;ON      NM;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A
21/09/21;AMBP3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;13/07/20;31/12/99;BRAMBPTNO008;BRL;ON      NM;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A
21/09/21;AMER3;EQUITY-CASH;SHARES;19/07/21;31/12/99;BRAMERACNOR6;BRL;ON      NM;AMERICANAS S.A
21/09/21;AMER3F;EQUITY-CASH;SHARES;19/07/21;31/12/99;BRAMERACNOR6;BRL;ON      NM;AMERICANAS S.A
21/09/21;AMER3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;19/07/21;31/12/99;BRAMERTNO008;BRL;ON      NM;AMERICANAS S.A
21/09/21;AMGN34;EQUITY-CASH;BDR;16/08/21;31/12/99;BRAMGNBDR004;BRL;DRN;AMGEN INC.
21/09/21;AMZG11;EQUITY-CASH;UNIT;31/12/99;31/12/99;BRAMZGCDAM10;BRL;UNT;AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
21/09/21;AMZG3;EQUITY-CASH;SHARES;31/12/99;31/12/99;BRAMZGACNOR4;BRL;ON;AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
21/09/21;AMZG9;EQUITY-CASH;RECEIPTS;31/12/99;31/12/99;BRAMZGR01OR9;BRL;ON  REC;AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.
21/09/21;AMZO34;EQUITY-CASH;BDR;09/11/20;31/12/99;BRAMZOBDR002;BRL;DRN;AMAZON.COM, INC
21/09/21;ANCR11B;EQUITY-CASH;FUNDS;01/02/21;31/12/99;BRANCRCTF001;BRL;CI      MB;FDO INV IMOB - FII ANCAR IC
21/09/21;ANGC11;EQUITY-CASH;FUNDS;31/12/99;31/12/99;BRANGCCTF004;BRL;CI  ER;FDO INV IMOB RENDA CORPORATIVA ANGICO - FII
21/09/21;ANIM3;EQUITY-CASH;SHARES;19/02/21;31/12/99;BRANIMACNOR6;BRL;ON      NM;ANIMA HOLDING S.A.
21/09/21;ANIM3F;EQUITY-CASH;SHARES;19/02/21;31/12/99;BRANIMACNOR6;BRL;ON      NM;ANIMA HOLDING S.A.
21/09/21;ANIM3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;28/10/13;31/12/99;BRANIMTNO008;BRL;ON      NM;ANIMA HOLDING S.A.
21/09/21;APER3;EQUITY-CASH;SHARES;28/01/21;31/12/99;BRAPERACNOR9;BRL;ON      NM;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
21/09/21;APER3F;EQUITY-CASH;SHARES;28/01/21;31/12/99;BRAPERACNOR9;BRL;ON      NM;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
21/09/21;APER3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;26/12/18;31/12/99;BRAPERTNO001;BRL;ON      NM;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.
21/09/21;APTI3;EQUITY-CASH;SHARES;03/05/21;31/12/99;BRAPTIACNOR6;BRL;ON;SIDERURGICA J. L. ALIPERTI S.A.
21/09/21;APTI3F;EQUITY-CASH;SHARES;03/05/21;31/12/99;BRAPTIACNOR6;BRL;ON;SIDERURGICA J. L. ALIPERTI S.A.
21/09/21;APTI3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;14/07/86;31/12/99;BRAPTITNO008;BRL;;
